Description,Code,Number of jobs,Median,Median annual percentage change,Mean,Mean annual percentage change,10,20,25,30,40,60,70,75,80,90
WHOLESALE AND RETAIL TRADE; REPAIR OF MOTOR VEHICLES AND MOTORCYCLES ,G,3332,18749,3.9,23590,2.8,6559,9428,11086,12674,15982,21980,26074,28780,31773,43199
Wholesale and retail trade and repair of motor vehicles and motorcycles ,45,427,24602,1.7,27886,3.5,11502,16469,17631,19054,21758,27211,30440,32366,35184,44646
"Wholesale trade, except of motor vehicles and motorcycles ",46,953,26071,3.3,33241,3.6,12761,17400,18774,20141,22964,30000,34840,38390,42744,58333
"Retail trade, except of motor vehicles and motorcycles ",47,1952,14365,3.2,17940,1.2,5510,7650,8528,9553,11817,16864,19906,21748,24220,33079
TRANSPORTATION AND STORAGE ,H ,953,27688,0.1,31283,-0.4,14157,19419,21139,22698,24974,30694,34383,36910,40108,51620
Land transport and transport via pipelines ,49,472,28476,2.8,30732,1.4,12069,19774,21549,22949,25550,31480,34781,37114,40401,51935
Water transport ,50,x,x,,34970,-3.9,x,x,x,x,x,x,x,x,x,x
Air transport ,51,25,30767,-3,37413,-0.7,14403,17086,19165,20285,24762,34209,42308,x,x,x
Warehousing and support activities for transportation ,52,224,27872,-1.5,34007,1.7,14780,18734,20098,21440,24698,31404,36876,39808,43537,57061
Postal and courier activities ,53,220,26132,0.1,28791,1.1,15384,19805,22044,23129,24324,28318,30972,32572,35022,42517
ACCOMMODATION AND FOOD SERVICE ACTIVITIES ,I ,1020,12857,-2.6,15826,-0.4,3476,5963,6788,7941,10200,15687,18500,20179,22432,29395
Accommodation ,55,204,16569,6.4,19244,3,x,8517,10305,11614,14767,18485,20782,22642,25084,x
Food and beverage service activities ,56,816,11760,-2.6,14972,-0.8,3240,5509,6244,7278,9360,14528,17732,19418,21730,28140
INFORMATION AND COMMUNICATION ,J ,814,37503,3.4,46599,4.8,14195,21636,24369,26648,31864,43861,51407,56929,63749,85074
Publishing activities ,58,94,31477,7.3,37734,5,14951,20291,22711,24443,27264,37048,42083,45382,49806,x
"Motion picture, video and television programme production, sound recording and music publishing activities ",59,45,28891,1.9,35926,-0.8,8050,15421,18567,20593,24517,35565,x,x,x,x
Programming and broadcasting activities ,60,46,42520,-3.1,48337,-0.6,x,30792,32822,34868,38392,45958,50760,53916,x,x
Telecommunications ,61,116,34176,-6,42347,-0.2,15063,21007,23224,24992,29597,39853,48946,53443,58136,x
"Computer programming, consultancy and related activities ",62,449,38976,4.6,48289,6.8,13186,21813,25000,27518,33250,45522,54510,59979,66666,88318
Information service activities ,63,64,43417,-3.4,61716,-4.9,16706,23315,25635,29661,36854,53637,67425,76779,85781,x
FINANCIAL AND INSURANCE ACTIVITIES ,K ,830,37439,2.5,61399,5.6,16317,20820,22875,25291,30947,46118,58005,66812,77073,114792
