Description,Code,Number of jobs,Median,Median annual percentage change,Mean,Mean annual percentage change,10,20,25,30,40,60,70,75,80,90
Land transport and transport via pipelines ,49,13,"25,195",8.1,"26,304",10.4,x,"16,198","18,613","20,152","22,152","28,159","29,854","31,529",x,x
Water transport ,50,..,,,,,,,,,,,,,,
Air transport ,51,..,,,,,,,,,,,,,,
Warehousing and support activities for transportation ,52,x,x,,"30,660",-13.8,x,x,x,x,x,x,x,x,x,x
Postal and courier activities ,53,5,"24,317",-2.6,"25,290",0.5,x,x,"21,991","22,698","23,468","25,056",x,x,x,x
  Accommodation and food service activities ,I,25,"11,517",3.2,"13,484",0.6,"3,666","5,234","6,000","6,685","8,609","13,644","15,647","16,736",x,x
Accommodation ,55,5,"16,173",14.7,x,,x,x,x,"13,712","15,511",x,x,x,x,x
Food and beverage service activities ,56,20,"9,021",,"10,597",-1.4,"3,491","4,530","5,606","6,000","7,298","11,778","14,197","15,024","16,645",x
  Information and communication ,J,17,"32,559",5.4,"39,252",11.8,"13,341","20,460","22,350","24,293","27,963","38,920","43,386",x,x,x
Publishing activities ,58,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"Motion picture, video and television programme production, sound recording and music publishing activities ",59,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Programming and broadcasting activities ,60,x,"41,707",5.1,"38,346",1.5,x,x,x,x,x,x,x,x,x,x
Telecommunications ,61,x,x,,"23,235",-33.0,x,x,x,x,x,x,x,x,x,x
"Computer programming, consultancy and related activities ",62,12,"36,085",2.7,"43,463",19.6,x,"24,014","26,286","27,711","30,547","39,396",x,x,x,x
Information service activities ,63,..,,,,,,,,,,,,,,
  Financial and insurance activities ,K,15,"27,416",9.8,"30,363",-5.4,"11,008","16,163","17,893","19,349","22,280","31,455","37,358","41,145",x,x
"Financial service activities, except insurance and pension funding ",64,11,"28,268",-1.3,"31,828",-10.7,x,"16,366","18,477","19,597","23,851","35,087","38,924",x,x,x
"Insurance, reinsurance and pension funding, except compulsory social security ",65,x,x,,x,,x,x,x,x,x,x,x,x,x,x
Activities auxiliary to financial services and insurance activities ,66,x,x,,"26,199",10.9,x,x,x,x,x,x,x,x,x,x
  Real estate activities ,L,9,"19,383",6.7,"24,407",10.2,x,"10,233","12,144","13,526","17,721","23,292",x,x,x,x
Real estate activities ,68,9,"19,383",6.7,"24,407",10.2,x,"10,233","12,144","13,526","17,721","23,292",x,x,x,x
"  Professional, scientific and technical activities ",M,25,"27,299",6.5,"31,592",3.8,"11,824","17,092","18,806","19,679","24,000","30,728","35,356","37,855",x,x
Legal and accounting activities ,69,12,"25,084",12.6,"27,251",7.0,x,"15,099","16,878","18,335","20,968","28,761","32,530",x,x,x
