Description,Code,Number of jobs,Median,Annual percentage change (Median),Mean,Annual percentage change (Mean),10,20,25,30,40,60,70,75,80,90
"      Property, housing and estate managers",1251,95,34239,3.7,37585,0.7,17947,x,24372,26107,29484,37339,42302,45056,x,x
      Garage managers and proprietors,1252,x,39154,18.1,44269,17.9,x,x,30268,30765,31524,x,x,x,x,x
      Hairdressing and beauty salon managers and proprietors,1253,x,20194,,19955,-11.8,x,x,x,x,x,x,x,x,x,x
      Shopkeepers and proprietors – wholesale and retail,1254,8,24258,,x,,x,x,x,18372,23115,25876,x,x,x,x
      Waste disposal and environmental services managers,1255,x,x,,45991,7.3,x,x,x,x,x,x,x,x,x,x
      Managers and proprietors in other services n.e.c.,1259,82,26006,-5.6,33159,-2.7,x,16538,17910,18886,21999,31007,35998,40335,43365,x
Professional occupations,2,4876,35525,1.6,39310,2.5,15880,23206,25502,27665,31654,39107,43904,46983,50470,63474
"  Science, research, engineering and technology professionals",21,1119,40802,0.5,45208,2.4,23000,29236,31211,33198,37034,45078,50072,52924,56915,68609
    Natural and social science professionals,211,118,35895,0.1,39917,1.4,20883,26542,28319,29637,32819,39273,42472,45486,48796,x
      Chemical scientists,2111,11,33248,-4.6,38260,-0.3,x,26017,26991,29515,30971,36785,x,x,x,x
      Biological scientists and biochemists,2112,52,34629,1.1,38520,0.1,19179,24137,26175,28216,30456,38657,42293,45138,48514,x
      Physical scientists,2113,10,39710,1.8,44737,-1,x,x,31365,32672,36107,41792,x,x,x,x
      Social and humanities scientists,2114,x,31779,,33851,,x,x,x,x,x,x,x,x,x,x
      Natural and social science professionals n.e.c.,2119,39,37706,3.4,42147,6.2,25250,29345,30649,32053,34945,39737,43174,47040,49073,x
    Engineering professionals,212,352,41143,0.1,44017,2.8,25036,30671,32435,34384,37795,45068,48983,51314,54463,63331
      Civil engineers,2121,39,40642,1.7,42034,-1.6,25237,31237,32647,33843,37524,44003,46793,48734,50334,x
      Mechanical engineers,2122,28,40160,-4.3,49750,9.8,24918,30828,31971,33443,37517,45685,54001,58482,63144,x
      Electrical engineers,2123,20,48458,4.4,51668,8,27498,35392,37202,40365,45644,52131,58600,x,x,x
      Electronics engineers,2124,x,38170,-11.9,41720,-6.9,x,x,x,x,34452,x,x,x,x,x
      Design and development engineers,2126,69,40231,1,42020,2,24671,30507,32041,33634,36830,43214,47237,49349,52013,x
      Production and process engineers,2127,43,39157,-2.2,40574,-0.9,22301,30024,32058,33352,37489,42413,45746,47011,49408,x
      Engineering professionals n.e.c.,2129,149,41721,0.8,44437,3.4,25475,30400,32254,34647,37744,45923,49843,51950,54835,62444
    Information technology and telecommunications professionals,213,567,42412,1.4,47362,2.4,22919,29268,31521,33998,38000,47285,52582,56416,60991,74683
      IT specialist managers,2133,145,45787,-1,50969,-1.4,25556,32069,35125,37031,41258,50996,56951,60815,65358,x
      IT project and programme managers,2134,18,47590,-3.5,52384,-0.6,x,34787,38121,40685,43826,50997,60954,x,x,x
"      IT business analysts, architects and systems designers",2135,92,47676,5.9,51795,4.8,27890,32947,35361,36985,42627,54639,59998,63035,66690,x
      Programmers and software development professionals,2136,188,41453,2.8,45298,3.3,23000,29299,31248,33600,37436,45310,50000,52350,56341,x
      Web design and development professionals,2137,37,31057,3.3,32850,3.5,18074,23000,24464,25916,28158,33846,37000,38105,41998,x
      Information technology and telecommunications professionals n.e.c.,2139,86,39623,4.6,46290,6.8,x,24000,26528,29614,35022,44591,50203,53271,x,x
    Conservation and environment professionals,214,35,31421,-1.9,34005,-0.1,18008,22232,24884,25983,29584,35288,38354,40271,43798,x
      Conservation professionals,2141,8,30153,-2.9,32132,1,x,x,21287,24928,28235,33734,x,x,x,x
      Environment professionals,2142,28,31543,-2.7,34525,-0.5,19737,22671,24980,26159,29610,35425,37722,40671,44563,x
    Research and development managers ,215,46,44784,-0.7,49956,-1,26261,32543,34710,36845,40384,49578,54825,57962,62564,x
      Research and development managers,2150,46,44784,-0.7,49956,-1,26261,32543,34710,36845,40384,49578,54825,57962,62564,x
  Health professionals,22,1273,30336,2.8,35459,3.5,12789,19325,21781,23728,27265,33900,37913,40680,43352,58303
    Health professionals,221,352,43492,3.6,55210,2,17690,25409,28465,31775,37626,50179,62098,72512,85602,110567
      Medical practitioners,2211,193,63132,3,71990,1.1,23369,35798,39963,45251,52936,77437,93098,101318,107861,127415
      Psychologists,2212,22,36789,11,36998,1.2,x,22013,24357,26861,29343,41431,45432,47604,50486,x
      Pharmacists,2213,35,37466,-2.4,37459,-5.1,18312,24296,26483,28664,33759,40527,43442,46741,48045,x
      Ophthalmic opticians,2214,10,x,,28834,-9.1,x,x,x,x,x,x,41765,x,x,x
      Dental practitioners,2215,8,x,,x,,x,x,x,x,x,x,x,x,x,x
      Veterinarians,2216,x,35217,8.4,34980,-0.9,x,x,x,x,x,x,x,x,x,x
      Medical radiographers,2217,35,32917,2.1,32436,0.6,x,21911,24573,26624,29496,35289,37859,40416,41872,x
      Podiatrists,2218,7,26044,-2.3,26387,-2.3,x,x,x,x,22922,28535,x,x,x,x
      Health professionals n.e.c.,2219,32,28977,4.4,31595,5.6,15682,20128,21979,22906,26442,34173,37828,40487,41787,x
    Therapy professionals,222,104,27585,0.7,28194,2.6,14351,19528,21185,22681,25074,29842,33120,35423,36142,41983
      Physiotherapists,2221,50,28685,2.3,28877,4.8,14016,19213,21367,23015,25914,30347,34019,35809,37362,x
      Occupational therapists,2222,29,26917,2.8,27047,-2.4,14416,19703,21141,21586,23745,29408,31049,33276,35577,x
      Speech and language therapists,2223,11,25067,0.5,25982,6.1,x,15968,17229,19193,22712,27655,28879,x,x,x
      Therapy professionals n.e.c.,2229,14,28171,1,29864,2.9,17114,21568,22882,23918,25713,31244,35599,36526,x,x
    Nursing and midwifery professionals,223,817,28163,2.5,27869,3.6,11238,17788,20050,22074,25417,30872,33859,35577,37446,42337
