Description,Code,Number of jobs,Median,Annual percentage change (Median),Mean,Annual percentage change (Mean),10,20,25,30,40,60,70,75,80,90
      Bank and post office clerks,4123,77,19562,-2,20642,0.5,9181,12566,14250,15680,17895,21389,23948,25088,26225,x
      Finance officers,4124,17,23146,2.7,26748,3.1,11172,16738,18296,19345,21922,25007,28220,29388,x,x
      Financial administrative occupations n.e.c.,4129,95,19580,5.4,20148,2.3,8039,11412,13108,14876,17500,21499,23954,25384,26883,x
    Administrative occupations: Records,413,299,19957,1.3,20724,0.8,9338,13419,15093,16233,18197,21829,23908,25119,27124,32082
      Records clerks and assistants,4131,115,19203,2.1,20102,2,9454,12437,14268,15613,17841,21051,22899,24288,26382,31356
      Pensions and insurance clerks and assistants,4132,29,20804,4.7,22200,5.1,14489,16427,17252,18159,19147,22446,23585,24016,x,x
      Stock control clerks and assistants,4133,65,20532,2.3,21576,1.9,10243,15130,16472,17208,18804,22292,24558,26131,27564,x
      Transport and distribution clerks and assistants,4134,48,24248,1.3,25230,0.9,x,x,19148,20471,22676,26259,28462,29681,x,x
      Library clerks and assistants,4135,23,11989,-0.3,12825,1.9,x,x,7806,8650,x,14716,16929,18239,x,x
      Human resources administrative occupations,4138,19,17232,-13.3,17522,-12.7,x,10566,12737,13612,15955,19429,21265,22019,22771,x
    Other administrative occupations,415,901,16742,0.9,18476,4.9,5853,8412,9930,11160,14059,18898,21320,22868,24567,31254
      Sales administrators,4151,62,19610,3.2,20940,7.2,9571,14673,16000,16876,18352,21412,23514,24480,25791,x
      Other administrative occupations n.e.c.,4159,839,16345,0.2,18295,4.8,5535,8220,9600,10891,13577,18650,21129,22683,24470,31399
    Administrative occupations: Office managers and supervisors,416,195,28097,2.2,30368,3.5,13701,19075,21000,22830,25509,31085,34867,37324,40567,49402
      Office managers,4161,165,28901,2.2,31123,3,14017,19103,21526,23304,26368,32000,35863,38738,41638,50643
      Office supervisors,4162,29,24624,1.9,26110,6.4,12462,18298,20317,20956,23084,26822,29131,30140,32273,x
  Secretarial and related occupations,42,530,15078,-0.6,16919,0.3,6000,8424,9544,10534,12590,17458,20000,21622,23445,29996
    Secretarial and related occupations,421,530,15078,-0.6,16919,0.3,6000,8424,9544,10534,12590,17458,20000,21622,23445,29996
      Medical secretaries,4211,41,18146,2.5,17714,4.3,9641,11515,12571,13793,16161,19713,21454,22450,22683,x
      Legal secretaries,4212,23,18865,3.6,19891,2.3,x,x,x,x,x,x,x,x,x,x
      School secretaries,4213,18,15924,-1.8,16290,-0.3,x,10307,11572,12802,14612,17486,19052,20088,21375,x
      Company secretaries,4214,16,x,,16835,-6.8,x,x,x,x,8922,x,x,x,x,x
      Personal assistants and other secretaries,4215,198,18410,-4,19912,-2.7,4484,7978,8941,10500,14099,21986,25743,28115,30544,37458
      Receptionists,4216,217,12926,2.2,13607,2.8,6188,8257,9083,9695,11233,14561,16389,17218,18193,21287
      Typists and related keyboard occupations,4217,17,17023,3.4,19082,5.3,9198,11360,12608,13947,x,18176,x,x,x,x
Skilled trades occupations,5,1630,26058,2.9,27452,2.9,13000,17800,19239,20702,23484,28841,32000,34020,36225,42694
  Skilled agricultural and related trades,51,92,19651,4.3,20367,3.2,x,15418,16455,17160,18423,21000,22993,24084,25395,x
    Agricultural and related trades,511,92,19651,4.3,20367,3.2,x,15418,16455,17160,18423,21000,22993,24084,25395,x
      Farmers,5111,x,24651,,25976,3.9,x,x,x,x,22835,x,x,x,x,x
      Horticultural trades,5112,x,x,,17090,,x,x,x,x,x,x,x,x,x,x
      Gardeners and landscape gardeners,5113,38,19655,4.7,19428,5,x,14583,16436,17280,18569,21000,22781,23517,24652,x
      Groundsmen and greenkeepers,5114,38,19020,2.4,20495,1.4,x,x,16492,17013,17772,x,x,x,x,x
      Agricultural and fishing trades n.e.c.,5119,8,21085,,22480,6.7,x,16715,17266,17759,19828,23445,26115,x,x,x
"  Skilled metal, electrical and electronic trades",52,861,30395,3,31809,3.7,18102,22129,23769,25326,27686,33059,36263,38266,40259,46596
"    Metal forming, welding and related trades",521,60,26542,3.4,29001,7.7,18353,20799,21588,22445,24466,28985,31688,32750,35377,x
      Smiths and forge workers,5211,..,,,,,,,,,,,,,,
"      Moulders, core makers and die casters",5212,x,23856,,24028,,x,x,x,x,x,x,x,x,x,x
      Sheet metal workers,5213,10,25853,-1.7,28402,1,x,20181,20668,21174,22874,28738,32348,x,x,x
"      Metal plate workers, and riveters",5214,x,28955,7.3,30379,3.7,x,x,x,x,27777,31121,x,x,x,x
      Welding trades,5215,42,26106,6.4,28585,8.6,18303,20903,21506,22395,23756,28291,30856,31787,33142,x
      Pipe fitters,5216,x,38976,29.9,39318,27.8,x,x,x,x,x,41309,x,x,x,x
"    Metal machining, fitting and instrument making trades",522,350,30604,4.7,32178,4.8,17773,21536,23132,24770,27539,33631,37494,39614,41844,48400
      Metal machining setters and setter-operators,5221,53,27191,3.4,28566,3.2,18592,21209,22241,23420,25339,29031,31850,33340,35405,x
"      Tool makers, tool fitters and markers-out",5222,9,30360,9.9,31494,9.4,x,24999,26732,27194,28922,31415,33786,x,x,x
      Metal working production and maintenance fitters,5223,274,31551,5,32988,5.2,17358,21532,23200,25000,28290,35050,38868,40711,43093,50158
      Precision instrument makers and repairers,5224,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Air-conditioning and refrigeration engineers,5225,x,33993,4.6,34372,1.9,x,x,26681,28581,32016,36340,x,x,x,x
    Vehicle trades,523,158,27393,2,28709,2.7,16652,20795,22042,23616,25764,29663,32047,33569,35450,x
"      Vehicle technicians, mechanics and electricians",5231,116,27066,2.3,27951,3.6,16414,20281,21526,22839,25499,29225,31414,32544,34623,x
      Vehicle body builders and repairers ,5232,20,26498,3,27304,3.5,18097,20861,21882,23586,25686,27903,30642,31931,33014,x
      Vehicle paint technicians,5234,8,25287,4.8,25728,1,x,20837,21695,22410,24269,27091,29203,x,x,x
      Aircraft maintenance and related trades,5235,7,35622,2.5,40591,8.1,x,27283,29776,31428,34528,39768,x,x,x,x
      Boat and ship builders and repairers,5236,x,30591,14.9,32240,14.7,x,x,x,x,x,x,x,x,x,x
      Rail and rolling stock builders and repairers,5237,x,42787,-3.1,43290,-7,x,x,x,x,x,x,x,x,x,x
    Electrical and electronic trades,524,255,32017,2.2,32922,2.4,18885,24298,25841,27010,29502,34496,37279,39124,40896,46969
      Electricians and electrical fitters,5241,120,32104,5.3,32241,3.4,18148,23466,25386,27077,29462,34743,36998,38865,40489,46009
      Telecommunications engineers,5242,13,32226,-1.3,35178,2.5,x,24967,26070,26808,30052,34945,x,x,x,x
"      TV, video and audio engineers",5244,x,31929,-1.8,31730,-1.9,x,x,x,28541,29881,33905,x,x,x,x
      IT engineers,5245,12,26929,-3.2,29960,-2.1,x,21101,22852,23543,25657,31256,x,x,x,x
      Electrical and electronic trades n.e.c.,5249,106,32323,1.6,33815,3.1,20136,25037,26578,27333,29657,34423,38134,39523,41614,x
"    Skilled metal, electrical and electronic trades supervisors",525,37,35716,7.4,38357,4.5,26763,29724,30739,31600,34023,38486,40531,42345,44691,x
"      Skilled metal, electrical and electronic trades supervisors",5250,37,35716,7.4,38357,4.5,26763,29724,30739,31600,34023,38486,40531,42345,44691,x
  Skilled construction and building trades,53,280,27038,3.6,28114,3.4,16209,20337,21461,22771,25141,29370,31704,33212,35423,41086
    Construction and building trades,531,205,26464,4.1,26978,3,15815,19760,20800,22308,24592,28325,30814,31892,33762,38395
      Steel erectors,5311,x,27458,8.9,26713,2.2,x,x,x,x,25183,28592,x,x,x,x
      Bricklayers and masons,5312,16,25385,5.2,24807,5.1,11938,19157,20592,21772,23794,26000,27856,28546,x,x
"      Roofers, roof tilers and slaters",5313,14,24131,3.1,24901,3.2,14084,17527,18733,20545,22732,26772,28375,29597,x,x
      Plumbers and heating and ventilating engineers,5314,49,30555,3.2,30432,0.3,16208,23098,24858,26046,28073,32241,34658,36895,38129,x
      Carpenters and joiners,5315,74,26996,3.7,27587,6,17595,20566,22092,22871,25081,28912,30513,31764,33083,x
"      Glaziers, window fabricators and fitters",5316,20,20724,0.7,21492,0.9,15679,17127,17458,18031,19848,21842,23387,24123,x,x
      Construction and building trades n.e.c.,5319,29,25092,1.3,25498,-2.4,x,x,19276,20576,23031,26613,30239,31087,x,x
    Building finishing trades,532,38,25082,3.5,25378,3.1,15991,19585,20593,21548,23160,26463,28246,29430,30949,x
      Plasterers,5321,7,25385,2.5,25534,3.4,x,x,22400,23085,24759,27230,x,x,x,x
      Floorers and wall tilers,5322,9,25673,-1.3,27022,0.7,x,20598,21144,22656,23588,28821,30276,x,x,x
      Painters and decorators,5323,22,24022,0.3,24669,4.2,15408,18948,20074,20794,22618,25999,27303,28137,30106,x
    Construction and building trades supervisors,533,37,36270,6.7,37249,5.2,23789,28019,30000,30767,34334,38809,41441,43087,45447,x
      Construction and building trades supervisors,5330,37,36270,6.7,37249,5.2,23789,28019,30000,30767,34334,38809,41441,43087,45447,x
"  Textiles, printing and other skilled trades",54,397,18803,2.9,19168,1.6,8112,11417,13000,14482,16872,20702,22821,24210,25360,29673
    Textiles and garments trades,541,19,19609,1.7,21181,5.2,x,x,x,x,18073,23189,x,x,x,x
      Weavers and knitters,5411,x,20229,2,22504,9,x,x,x,x,x,x,x,x,x,x
      Upholsterers,5412,7,24289,22.6,22908,13.6,x,x,17570,18065,19704,25558,26477,x,x,x
      Footwear and leather working trades,5413,x,19899,3.3,20822,-2.3,x,x,x,x,18097,x,x,x,x,x
      Tailors and dressmakers,5414,x,x,,x,,x,x,x,x,x,x,x,x,x,x
"      Textiles, garments and related trades n.e.c.",5419,x,x,,23663,0.3,x,x,x,x,x,x,x,x,x,x
    Printing trades,542,30,23838,4.8,23623,1.4,14669,17823,18773,19735,21360,24966,26046,27409,29190,x
      Pre-press technicians,5421,x,24544,-2.7,24496,5.7,x,x,x,x,x,x,x,x,x,x
      Printers,5422,15,25497,1.5,25423,-0.8,15145,18328,19447,21024,23897,26728,29116,30136,x,x
      Print finishing and binding workers,5423,12,21034,5.3,21276,4,x,16687,17680,18022,19947,23245,24142,24554,x,x
    Food preparation and hospitality trades,543,316,18027,2.8,18309,1.8,7800,10484,12083,13533,16034,19910,21840,23128,24483,28252
      Butchers,5431,29,20918,6.8,21351,10.2,14459,16655,17568,18357,19975,22256,23432,24129,24619,x
      Bakers and flour confectioners,5432,19,19042,2,19460,2.6,x,14807,15736,16494,17596,20502,21471,21944,x,x
      Fishmongers and poultry dressers,5433,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Chefs,5434,162,18984,1.5,19319,0.3,7966,11134,12939,14554,17207,20925,23335,24509,25735,x
      Cooks,5435,53,11869,0.4,12210,2.8,x,x,x,x,10278,13205,14555,x,x,x
      Catering and bar managers,5436,47,18935,0.5,19346,-3.5,7850,12229,14252,15451,17764,20528,22599,23445,24706,x
    Other skilled trades,544,33,21063,-1.7,22268,1.2,9080,14784,16276,17652,19559,23058,25454,x,x,x
"      Glass and ceramics makers, decorators and finishers",5441,x,20496,5.1,21155,6.8,x,x,x,x,19248,21439,x,x,x,x
      Furniture makers and other craft woodworkers,5442,x,22169,-0.4,22927,0.3,x,x,x,x,x,x,x,x,x,x
      Florists,5443,x,10383,,11356,-4.1,x,x,x,7879,8389,x,x,x,x,x
      Other skilled trades n.e.c.,5449,14,24843,,26219,5.6,x,18115,19698,20748,21997,26996,29833,31253,x,x
"Caring, leisure and other service occupations",6,2052,14083,2,14686,1.7,5145,8059,9227,10254,12239,15985,18030,19224,20589,24272
  Caring personal service occupations,61,1721,13990,2.5,14450,2.8,5218,8252,9384,10372,12250,15823,17760,18903,20225,23632
    Childcare and related personal services,612,631,12336,3.7,12617,2.7,5126,7726,8642,9531,11039,13722,15273,16123,17175,20139
      Nursery nurses and assistants,6121,165,13093,1.8,13123,2.1,5830,8075,8877,9645,11334,14711,16000,16836,17600,20409
      Childminders and related occupations,6122,18,x,,15563,3,x,x,x,x,x,x,x,x,x,x
      Playworkers,6123,33,5706,8.9,7237,8.1,1494,2438,2763,3260,4466,7281,9221,10357,x,x
      Teaching assistants,6125,282,12551,3.5,12926,3.3,6093,8433,9330,10061,11403,13841,15314,16192,17207,20263
      Educational support assistants,6126,133,12172,4.4,12280,1.5,5181,7774,8765,9688,11072,13207,14434,15271,16421,18985
    Animal care and control services,613,36,16383,4.7,16909,6.1,x,10009,10794,11941,14394,18181,20826,22385,x,x
      Veterinary nurses,6131,10,17010,0.3,17880,4,x,11004,12408,14016,15704,20201,22093,22859,x,x
      Pest control officers,6132,x,23411,2.8,22493,-0.6,x,x,x,x,x,23828,x,x,x,x
      Animal care services occupations n.e.c.,6139,23,14800,5.8,15812,9.8,x,x,x,10700,12620,16453,x,x,x,x
    Caring personal services,614,1054,15302,2.1,15464,2.6,5219,8646,9927,11152,13333,17255,19286,20392,21543,24938
      Nursing auxiliaries and assistants,6141,330,17045,4.4,16747,4,6860,10435,11594,12791,15141,18851,20528,21346,22341,25253
      Ambulance staff (excluding paramedics),6142,17,21537,0.1,21789,0.9,x,17106,18099,18564,19988,23577,25617,26324,27105,x
      Dental nurses,6143,41,14539,-3.6,15130,1.1,7293,9677,10613,11679,13217,16697,18376,18995,19942,x
      Houseparents and residential wardens,6144,14,20384,,20716,3.2,x,x,14830,15936,18198,22544,25251,25887,x,x
      Care workers and home carers,6145,580,13900,1.5,14258,2.3,4095,7550,8714,9882,12056,15751,17689,18855,20222,23886
      Senior care workers,6146,51,17817,5.1,18026,3.7,x,x,x,x,16130,19722,21391,x,x,x
      Care escorts,6147,9,7317,5,8677,4.7,x,5167,5617,5789,6513,8337,x,x,x,x
"      Undertakers, mortuary and crematorium assistants",6148,12,20381,2.1,18684,3.2,x,x,x,15159,17507,21812,24035,24540,x,x
"  Leisure, travel and related personal service occupations",62,331,14767,-1,15912,-2,4706,7087,8167,9474,12152,16947,19437,20909,22857,29182
    Leisure and travel services,621,127,16454,-6.3,18369,-2.7,2934,6733,8485,9911,13755,19315,23447,25729,29115,35834
      Sports and leisure assistants,6211,42,11516,,12169,2.5,x,3664,x,x,x,14004,16789,17775,19108,x
      Travel agents,6212,26,17004,-1.5,19168,5.7,9036,11119,12798,13553,15017,19526,21704,22906,25770,x
      Air travel assistants,6214,24,17886,-19.4,17927,-21.7,x,x,x,x,15600,19957,23761,24488,x,x
      Rail travel assistants,6215,22,33939,3.2,35132,4.8,19913,27304,28772,30039,31704,36674,39305,41254,44727,x
      Leisure and travel service occupations n.e.c.,6219,13,x,,8727,,x,x,1848,x,x,x,x,x,x,x
    Hairdressers and related services,622,78,10920,1.6,11876,0.8,5863,6529,7004,7726,9360,12666,14809,15670,16404,x
      Hairdressers and barbers,6221,52,10415,0.4,11570,2,5985,6537,7005,7711,9215,11998,14142,15022,15883,x
      Beauticians and related occupations,6222,26,12000,0,12488,-1.3,x,x,x,7800,10376,13946,15835,16408,x,x
    Housekeeping and related services,623,84,16357,1.8,16087,1.7,5799,8436,9989,11227,14212,18158,20188,21294,22430,25707
      Housekeepers and related occupations,6231,29,13284,4.4,13792,-0.2,6482,8039,9020,10005,11494,14712,16575,17446,18810,x
      Caretakers,6232,56,18035,2.7,17270,2.5,5461,8802,11034,13336,16302,19950,21911,22727,23526,x
    Cleaning and housekeeping managers and supervisors,624,42,15357,2.3,15616,1.5,5813,x,8701,10510,13074,17607,19013,20075,21761,x
      Cleaning and housekeeping managers and supervisors,6240,42,15357,2.3,15616,1.5,5813,x,8701,10510,13074,17607,19013,20075,21761,x
Sales and customer service occupations,7,1777,13323,4.7,15080,4.3,5087,7235,8123,9035,11111,15791,18196,19652,21256,26588
  Sales occupations,71,1313,11667,4.3,13368,4.3,4600,6542,7365,8106,9749,13813,16115,17373,18890,23723
    Sales assistants and retail cashiers,711,1172,10926,4.2,12467,3.8,4376,6279,7034,7778,9160,12697,14945,16109,17447,21690
      Sales and retail assistants,7111,964,10753,3.8,12434,4.1,4187,6188,6848,7620,9010,12646,14921,16088,17512,21911
      Retail cashiers and check-out operators,7112,142,10047,4,10580,4.2,4515,6248,7023,7597,8764,11435,12782,13748,14765,17242
      Telephone salespersons,7113,16,19705,2.1,20201,3.5,9617,12490,14912,15964,17876,21251,22717,23304,x,x
      Pharmacy and other dispensing assistants,7114,39,12413,3.4,12698,2.2,x,8176,8948,9627,11206,13942,15711,16205,16736,x
      Vehicle and parts salespersons and advisers,7115,12,24357,,26504,-0.8,17329,20546,21086,21610,23138,25395,28025,29176,x,x
    Sales related occupations,712,58,18848,2.2,19816,5,6247,11029,13249,15235,17131,20495,x,24137,x,x
      Collector salespersons and credit agents,7121,x,x,,15073,-10.3,x,x,x,x,x,x,x,x,x,x
"      Debt, rent and other cash collectors",7122,14,18582,6.3,19077,3.8,13139,15601,15740,16119,17515,19370,20618,21750,x,x
      Roundspersons and van salespersons,7123,x,21285,4.3,21757,8.9,x,x,x,x,19974,23434,x,x,x,x
      Market and street traders and assistants,7124,x,x,,x,,x,x,x,x,x,x,x,x,x,x
      Merchandisers and window dressers,7125,16,18436,0.3,18531,4.2,x,7696,x,10567,14929,20292,23087,24250,x,x
      Sales related occupations n.e.c.,7129,x,19322,2.2,21221,4.5,x,x,x,x,x,x,x,x,x,x
    Sales supervisors,713,83,20811,7.5,21618,4.9,11685,15445,16482,17265,18561,22565,24893,26189,27952,x
      Sales supervisors,7130,83,20811,7.5,21618,4.9,11685,15445,16482,17265,18561,22565,24893,26189,27952,x
  Customer service occupations,72,464,18720,4,19928,4.7,7901,11160,12643,14113,16714,20559,22934,24568,26246,32795
    Customer service occupations,721,382,17675,4.9,17960,4.7,7384,10326,11632,13016,15709,19383,21214,22405,23700,28189
      Call and contact centre occupations,7211,41,16831,3.4,17642,6.6,9650,11745,13094,13986,15719,18164,19599,20510,21308,x
      Telephonists,7213,8,15677,4.6,15728,2.7,x,9097,9617,11361,13668,17406,19451,21010,x,x
      Communication operators,7214,14,25796,-2.5,25636,-1.3,11947,15554,17575,21137,23525,26796,29377,31086,x,x
      Market research interviewers,7215,7,x,,9561,-1.1,x,x,x,x,x,x,x,x,x,x
      Customer service occupations n.e.c.,7219,312,17782,5.1,17894,5.1,7313,10149,11407,12859,15727,19431,21212,22416,23733,28152
    Customer service managers and supervisors,722,82,26662,1.1,29161,2.9,13563,17620,19355,20883,24022,29988,33608,36087,38785,x
      Customer service managers and supervisors,7220,82,26662,1.1,29161,2.9,13563,17620,19355,20883,24022,29988,33608,36087,38785,x
"Process, plant and machine operatives",8,1356,23670,1.9,24975,1.4,11807,16486,17735,18904,21280,26318,29447,31214,33044,38816
"  Process, plant and machine operatives",81,652,22370,2.1,24265,2.1,13481,16334,17323,18254,20232,25068,28202,29956,31983,38011
    Process operatives,811,198,20688,3.3,22571,3,13343,15855,16582,17373,18890,22806,25646,27193,29236,34617
"      Food, drink and tobacco process operatives",8111,125,19021,3.6,20046,3.5,11149,15061,15778,16328,17719,20729,22833,23989,25645,30131
      Glass and ceramics process operatives,8112,x,21096,-1.9,22181,-4.9,x,x,x,x,18622,x,x,x,x,x
      Textile process operatives,8113,9,22455,,22486,,x,15783,16086,18140,20139,24174,25790,x,x,x
      Chemical and related process operatives,8114,24,29017,1.2,31164,-0.8,16348,19765,21430,22219,26191,31425,35921,38358,40176,x
      Rubber process operatives,8115,x,28691,-2.6,27051,1.5,x,x,x,x,25701,31079,x,x,x,x
      Plastics process operatives,8116,12,21045,,24313,-4.4,15702,18260,18753,19085,20121,23691,27121,29037,x,x
      Metal making and treating process operatives,8117,9,26231,7.6,27459,7.4,x,19972,20898,21983,24168,29289,33895,x,x,x
      Electroplaters,8118,x,22810,-0.3,23948,1.6,x,x,18144,18983,21049,23881,x,x,x,x
      Process operatives n.e.c.,8119,7,21518,3.8,25543,2.2,x,17207,17630,18046,19358,27141,x,x,x,x
    Plant and machine operatives,812,81,23850,6.1,25060,3.3,15024,17291,18572,19733,21582,26119,28771,30128,31928,x
      Paper and wood machine operatives,8121,16,21482,14.8,22574,10.8,14775,15969,17269,17999,19810,23886,26158,27188,x,x
      Coal mine operatives,8122,..,,,,,,,,,,,,,,
      Quarry workers and related operatives,8123,x,34126,,34204,,x,x,x,x,x,x,x,x,x,x
      Energy plant operatives,8124,x,28181,-5.2,30075,-7.2,x,x,x,x,24802,x,x,x,x,x
      Metal working machine operatives,8125,19,22574,1.1,23540,2.5,14982,16737,17668,18796,20755,24210,25967,27508,29382,x
      Water and sewerage plant operatives,8126,10,29789,,30707,6,x,23879,24786,25731,28164,31895,35925,36407,x,x
      Printing machine assistants,8127,18,21605,4.4,23109,5.6,13931,16684,17658,18587,20032,23959,26128,28444,29635,x
      Plant and machine operatives n.e.c.,8129,x,x,,24680,-3.6,x,x,x,x,x,x,x,x,x,x
    Assemblers and routine operatives,813,245,22349,0.1,24663,-0.4,13881,16630,17420,18255,20213,24979,28572,30673,32747,39297
      Assemblers (electrical and electronic products),8131,12,22325,,23010,5.9,14326,16103,16995,18155,20330,24034,26115,27348,x,x
      Assemblers (vehicles and metal goods),8132,50,34095,1.1,33785,0.5,18576,22352,24964,28074,31232,36866,39386,41595,43143,x
      Routine inspectors and testers,8133,49,24677,4.9,26858,8.6,15872,17954,18822,20140,22286,27728,30229,32294,34744,x
"      Weighers, graders and sorters",8134,6,20569,5.3,20449,9.1,x,x,x,x,x,24244,x,x,x,x
"      Tyre, exhaust and windscreen fitters",8135,15,20897,11.5,21091,8.7,14895,16760,17695,17948,19366,21985,23976,25338,x,x
      Sewing machinists,8137,18,15949,5,15969,4.4,8295,12258,12816,13762,15089,16973,18400,18990,x,x
      Assemblers and routine operatives n.e.c.,8139,96,20343,-1.2,21446,-3.1,12844,15711,16723,17335,18743,22114,24029,25175,26974,x
    Construction operatives,814,128,25359,4.7,25629,4.8,11597,16491,18004,19498,22224,27664,30676,31966,33480,x
"      Scaffolders, stagers and riggers",8141,17,34199,4.5,35163,3.9,x,x,x,x,x,37639,x,x,x,x
      Road construction operatives,8142,18,29511,9,29881,5.6,19914,23208,24356,25359,26697,31622,33024,34477,36285,x
      Rail construction and maintenance operatives,8143,x,x,,29756,9.4,x,x,x,x,x,x,x,x,x,x
      Construction operatives n.e.c.,8149,89,22106,0.9,22824,3.8,9954,14383,16122,17143,19768,25365,27822,29198,31235,x
  Transport and mobile machine drivers and operatives,82,704,24785,1.4,25633,0.9,10541,16668,18340,19871,22377,27380,30395,32085,33862,39575
    Road transport drivers,821,583,24002,2,23935,1.7,9467,15648,17648,19096,21729,26492,29325,30767,32415,36877
      Large goods vehicle drivers,8211,183,29313,3.6,28977,3.2,19163,22674,23855,25194,27222,31227,33187,34242,35966,39253
      Van drivers,8212,262,19951,1.3,20546,1.9,7901,11881,13999,15745,17988,22000,24613,26159,28005,33264
      Bus and coach drivers,8213,122,24432,2.7,24270,1,9920,17608,19811,21210,23008,26606,28907,30199,31999,36046
      Taxi and cab drivers and chauffeurs,8214,14,x,,18670,-4.5,x,x,x,x,x,x,x,x,x,x
      Driving instructors,8215,x,24662,,24180,-28.7,x,x,x,x,x,x,x,x,x,x
    Mobile machine drivers and operatives,822,74,26608,2.2,28580,3.5,16647,19298,20489,21638,24071,29029,31880,33528,35853,x
      Crane drivers,8221,8,38111,1.7,40387,1.5,x,28800,30997,32243,33808,43479,48723,x,x,x
      Fork-lift truck drivers,8222,25,22193,4.1,23828,4.8,15467,17966,18720,19278,20619,24053,26089,26857,x,x
      Agricultural machinery drivers,8223,x,x,,23608,-2.3,x,x,x,x,x,25931,x,x,x,x
      Mobile machine drivers and operatives n.e.c.,8229,39,28454,4,29745,4.7,17171,20516,21966,23281,26439,30514,33529,34441,36752,x
    Other drivers and transport operatives,823,47,46566,13.7,42217,3.7,x,24130,26189,29647,35297,52382,53278,54133,55896,x
      Train and tram drivers,8231,26,53335,1.1,53114,3.5,x,x,50891,52109,53051,54654,56595,x,x,x
      Marine and waterways transport operatives,8232,x,35148,,40054,,x,x,x,x,x,x,x,x,x,x
      Air transport operatives,8233,9,22893,-9.9,24208,-9.1,x,x,16562,19922,21195,23724,x,x,x,x
      Rail transport operatives,8234,x,x,,31755,-16.2,x,x,x,x,x,31574,x,x,x,x
      Other drivers and transport operatives n.e.c.,8239,x,25856,,26400,8.1,x,x,x,21767,x,31054,x,x,x,x
Elementary occupations,9,2280,14171,3.4,14688,3.3,3091,5593,6609,7906,10778,16717,19093,20615,22387,26975
  Elementary trades and related occupations,91,289,19551,4.4,20369,4.3,10667,15024,15892,16640,18095,21160,23318,24546,26081,30686
    Elementary agricultural occupations,911,39,18692,-2.1,18574,-1.8,x,x,x,15369,17445,20577,22503,23837,25091,x
      Farm workers,9111,26,19068,-3.6,18948,-1.7,x,x,x,x,17425,21545,23942,25083,x,x
      Forestry workers,9112,x,20470,1.6,20980,-1.4,x,x,x,x,x,x,x,x,x,x
      Fishing and other elementary agriculture occupations n.e.c.,9119,x,x,,17337,-3,x,x,x,x,x,18976,x,x,x,x
    Elementary construction occupations,912,58,21040,-2.3,22268,-2.3,x,15986,17019,18177,19355,23117,25676,27123,29138,x
      Elementary construction occupations,9120,58,21040,-2.3,22268,-2.3,x,15986,17019,18177,19355,23117,25676,27123,29138,x
    Elementary process plant occupations,913,191,19180,6.1,20159,7,11139,15082,15863,16499,17792,20840,22646,24098,25303,29986
      Industrial cleaning process occupations,9132,12,18098,,18004,23.2,x,12746,15060,16099,16719,19646,21318,22216,23091,x
"      Packers, bottlers, canners and fillers",9134,80,17955,5.1,18840,5.4,x,14283,15113,15678,16944,19565,21126,22101,23674,x
      Elementary process plant occupations n.e.c.,9139,98,20472,3.4,21503,4.3,13122,15912,16670,17487,18728,22009,24216,25366,26551,x
  Elementary administration and service occupations,92,1992,12502,1.8,13865,3,2811,4974,6118,7077,9488,15687,18244,19666,21549,26221
    Elementary administration occupations,921,176,23583,1.8,22277,3.3,x,14704,16631,18169,21568,24954,27027,28188,29618,33247
"      Postal workers, mail sorters, messengers and couriers",9211,152,24240,0.8,23769,3.7,12837,17479,18872,20595,23319,25868,27842,29112,30100,33801
      Elementary administration occupations n.e.c.,9219,x,x,,x,,x,x,x,x,x,x,x,x,x,x
    Elementary cleaning occupations,923,501,8246,5.4,9948,4.5,3064,4389,5056,5800,6797,10064,12490,14080,15640,18875
      Window cleaners,9231,x,19847,,18455,,x,x,x,x,x,x,x,x,x,x
      Street cleaners,9232,5,18070,1.9,18007,4,x,16292,16651,17201,17549,18654,19101,x,x,x
      Cleaners and domestics,9233,447,7624,5.4,9096,4.9,2835,4160,4734,5352,6367,9009,11066,12279,13742,17350
"      Launderers, dry cleaners and pressers",9234,16,x,,12947,2.9,x,x,x,x,x,x,x,x,x,x
      Refuse and salvage occupations,9235,19,19592,0.9,20332,1.6,14622,17001,17781,18377,18878,20650,21926,22786,23534,x
      Vehicle valeters and cleaners,9236,11,16435,6.7,15620,7.9,x,x,x,x,15704,17240,x,x,x,x
      Elementary cleaning occupations n.e.c.,9239,x,x,,20312,17.4,x,x,x,x,x,x,x,x,x,x
    Elementary security occupations,924,200,x,,13647,0,1882,2520,2779,3048,4557,16716,20390,22235,24098,29617
      Security guards and related occupations,9241,95,21520,1.5,22226,3.9,x,14563,16120,17611,19407,23723,26210,27750,29564,x
      Parking and civil enforcement occupations,9242,11,18279,-2.7,17138,0.3,x,x,x,x,16859,19990,21656,22209,x,x
      School midday and crossing patrol occupations,9244,86,2718,4,3383,2.4,1417,1911,2119,2251,2497,2947,3375,3765,4182,x
      Elementary security occupations n.e.c.,9249,9,15984,,16643,4.3,x,x,8763,10322,x,18735,21452,x,x,x
    Elementary sales occupations,925,58,11286,-4.7,11893,-1.5,5500,7343,8073,8550,9700,12928,14488,15373,15860,x
